sample_id	subject_id	clone_id	seq_count	seq_freq	rank	size_class
SRR1383451	M4	7666	103	0.0077182465342825	1	Large (0.1-1%)
SRR1383451	M4	494	92	0.00689396777819408	2	Large (0.1-1%)
SRR1383451	M4	2237	67	0.00502060696890221	3	Large (0.1-1%)
SRR1383451	M4	5951	62	0.00464593480704384	4	Large (0.1-1%)
SRR1383451	M4	599	54	0.00404645934807044	5	Large (0.1-1%)
SRR1383452	M4	494	112	0.00905269964435823	1	Large (0.1-1%)
SRR1383452	M4	483	74	0.00598124797930811	2	Large (0.1-1%)
SRR1383452	M4	5951	73	0.00590042030391206	3	Large (0.1-1%)
SRR1383452	M4	3976	61	0.00493048819915939	4	Large (0.1-1%)
SRR1383452	M4	7666	57	0.00460717749757517	5	Large (0.1-1%)
SRR1383453	M4	494	103	0.00838079739625712	1	Large (0.1-1%)
SRR1383453	M4	483	77	0.00626525630593979	2	Large (0.1-1%)
SRR1383453	M4	5951	74	0.00602115541090317	3	Large (0.1-1%)
SRR1383453	M4	7375	68	0.00553295362082994	4	Large (0.1-1%)
SRR1383453	M4	7887	59	0.0048006509357201	5	Large (0.1-1%)
SRR1383456	M4	12100	2	0.0740740740740741	1	Hyperexpanded (>1%)
SRR1383456	M4	12553	2	0.0740740740740741	2	Hyperexpanded (>1%)
SRR1383456	M4	2231	2	0.0740740740740741	3	Hyperexpanded (>1%)
SRR1383456	M4	10221	1	0.037037037037037	4	Hyperexpanded (>1%)
SRR1383456	M4	13482	1	0.037037037037037	5	Hyperexpanded (>1%)
SRR1383463	M5	8485	135	0.00404761190897371	1	Large (0.1-1%)
SRR1383463	M5	100	126	0.00377777111504213	2	Large (0.1-1%)
SRR1383463	M5	28905	101	0.00302821335412107	3	Large (0.1-1%)
SRR1383463	M5	6125	89	0.00266842562887896	4	Large (0.1-1%)
SRR1383463	M5	19010	88	0.00263844331844212	5	Large (0.1-1%)
SRR1383464	M5	19010	114	0.00456164219118883	1	Large (0.1-1%)
SRR1383464	M5	24369	112	0.00448161338081709	2	Large (0.1-1%)
SRR1383464	M5	100	105	0.00420151254451603	3	Large (0.1-1%)
SRR1383464	M5	15275	99	0.00396142611340082	4	Large (0.1-1%)
SRR1383464	M5	26299	91	0.00364131087191389	5	Large (0.1-1%)
SRR1383465	M5	19010	121	0.00375694724749278	1	Large (0.1-1%)
SRR1383465	M5	100	112	0.00347750489024125	2	Large (0.1-1%)
SRR1383465	M5	6125	107	0.00332225913621262	3	Large (0.1-1%)
SRR1383465	M5	7708	106	0.0032912099854069	4	Large (0.1-1%)
SRR1383465	M5	26299	96	0.00298071847734964	5	Large (0.1-1%)
SRR1383466	M5	23336	13	0.0268041237113402	1	Hyperexpanded (>1%)
SRR1383466	M5	17370	11	0.022680412371134	2	Hyperexpanded (>1%)
SRR1383466	M5	20996	9	0.0185567010309278	3	Hyperexpanded (>1%)
SRR1383466	M5	13120	6	0.0123711340206186	4	Hyperexpanded (>1%)
SRR1383466	M5	19191	5	0.0103092783505155	5	Hyperexpanded (>1%)
SRR1383467	M5	6525	8	0.0136286201022147	1	Hyperexpanded (>1%)
SRR1383467	M5	23336	7	0.0119250425894378	2	Hyperexpanded (>1%)
SRR1383467	M5	13120	5	0.00851788756388416	3	Large (0.1-1%)
SRR1383467	M5	29024	5	0.00851788756388416	4	Large (0.1-1%)
SRR1383467	M5	5998	5	0.00851788756388416	5	Large (0.1-1%)
SRR1383468	M5	13120	15	0.0260869565217391	1	Hyperexpanded (>1%)
SRR1383468	M5	17370	11	0.0191304347826087	2	Hyperexpanded (>1%)
SRR1383468	M5	20996	10	0.0173913043478261	3	Hyperexpanded (>1%)
SRR1383468	M5	23336	8	0.0139130434782609	4	Hyperexpanded (>1%)
SRR1383468	M5	19191	7	0.0121739130434783	5	Hyperexpanded (>1%)
