sample	depth	iter	faith_pd
SRR10070130	1	1	0.2775501706101475
SRR10070131	1	1	0.4325089892824909
SRR10070132	1	1	1.276045620196888
SRR10070133	1	1	0.3185580520063267
SRR10070134	1	1	0.4470603667943451
SRR10070141	1	1	1.356695370626365
SRR10070149	1	1	0.3484864635217257
SRR10070150	1	1	0.1498812444042414
SRR10070151	1	1	0.4033709893107043
SRR10102392	1	1	1.251228489889611
SRR10102393	1	1	0.3441930608765307
SRR10102394	1	1	0.3752417925279588
SRR10070130	1	2	1.087047431606257
SRR10070131	1	2	0.7124439863196659
SRR10070132	1	2	0.2885050936066089
SRR10070133	1	2	0.3357894567876683
SRR10070134	1	2	0.316798725631088
SRR10070141	1	2	0.460770258725228
SRR10070149	1	2	0.4077911184750667
SRR10070150	1	2	0.3776036759197035
SRR10070151	1	2	0.5233475930265339
SRR10102392	1	2	0.2961164722612941
SRR10102393	1	2	0.3170302333762667
SRR10102394	1	2	0.3606607590101998
SRR10070130	1	3	1.087047431606257
SRR10070131	1	3	0.3518319719005376
SRR10070132	1	3	0.4683336986668003
SRR10070133	1	3	0.460770258725228
SRR10070134	1	3	0.3492595697217165
SRR10070141	1	3	0.460770258725228
SRR10070149	1	3	0.6665971911220896
SRR10070150	1	3	0.2775327796510303
SRR10070151	1	3	0.2824476696550846
SRR10102392	1	3	0.3247772226865657
SRR10102393	1	3	0.3791351686114615
SRR10102394	1	3	0.2907648403767125
SRR10070130	1	4	1.087047431606257
SRR10070131	1	4	0.4325089892824909
SRR10070132	1	4	1.356695370626365
SRR10070133	1	4	0.6971930800937116
SRR10070134	1	4	0.4404138767264412
SRR10070141	1	4	0.4372474064920064
SRR10070149	1	4	0.2984428736892242
SRR10070150	1	4	0.4574476480484009
SRR10070151	1	4	0.4930437552439524
SRR10102392	1	4	0.3770637136185542
SRR10102393	1	4	1.262968536977263
SRR10102394	1	4	0.2962776891746577
SRR10070130	1	5	0.4313565693969923
SRR10070131	1	5	0.4325089892824909
SRR10070132	1	5	0.460770258725228
SRR10070133	1	5	0.4204278713253209
SRR10070134	1	5	0.4469839330936867
SRR10070141	1	5	0.460770258725228
SRR10070149	1	5	0.3141459062462673
SRR10070150	1	5	0.3352979034999555
SRR10070151	1	5	0.3788094532779978
SRR10102392	1	5	0.4790229964884167
SRR10102393	1	5	0.2687028578353674
SRR10102394	1	5	0.2418591540772468
SRR10070130	1	6	0.4566573256379129
SRR10070131	1	6	0.2799622347216681
SRR10070132	1	6	0.4844718544556472
SRR10070133	1	6	1.352804430515895
SRR10070134	1	6	0.3513821552611516
SRR10070141	1	6	0.3357894567876683
SRR10070149	1	6	0.4015098207734153
SRR10070150	1	6	0.5529565974766864
