sample	rank	umi_count	is_cell
sample_A	1	17150.1	true
sample_A	2	13956.5	true
sample_A	3	16352.2	true
sample_A	4	13414.3	true
sample_A	5	17205.4	true
sample_A	6	15441.4	true
sample_A	7	16129.2	true
sample_A	8	15695.4	true
sample_A	9	13149.2	true
sample_A	10	14962.8	true
sample_A	11	14521.3	true
sample_A	12	16397.8	true
sample_A	13	13802.4	true
sample_A	14	12757.0	true
sample_A	15	15807.0	true
sample_A	16	15307.5	true
sample_A	17	17029.4	true
sample_A	18	15522.8	true
sample_A	19	12739.4	true
sample_A	20	15296.9	true
sample_A	21	16056.7	true
sample_A	22	14828.7	true
sample_A	23	16868.2	true
sample_A	24	15457.6	true
sample_A	25	16802.4	true
sample_A	26	13187.5	true
sample_A	27	13819.6	true
sample_A	28	16154.7	true
sample_A	29	16392.8	true
sample_A	30	15214.2	true
sample_A	31	15707.7	true
sample_A	32	14906.5	true
sample_A	33	13824.3	true
sample_A	34	14530.9	true
sample_A	35	15624.3	true
sample_A	36	15299.5	true
sample_A	37	15635.7	true
sample_A	38	16378.2	true
sample_A	39	15116.4	true
sample_A	40	14016.6	true
sample_A	41	16397.0	true
sample_A	42	16146.7	true
sample_A	43	15255.2	true
sample_A	44	13024.2	true
sample_A	45	13172.0	true
sample_A	46	14870.0	true
sample_A	47	16406.8	true
sample_A	48	13961.6	true
sample_A	49	14226.5	true
sample_A	50	16419.1	true
sample_A	51	12827.0	true
sample_A	52	13592.3	true
sample_A	53	14935.2	true
sample_A	54	14848.1	true
sample_A	55	16188.2	true
sample_A	56	12497.6	true
sample_A	57	13178.2	true
sample_A	58	16617.1	true
sample_A	59	13157.2	true
sample_A	60	16730.1	true
sample_A	61	15049.3	true
sample_A	62	16254.2	true
sample_A	63	16735.6	true
sample_A	64	12468.3	true
sample_A	65	16211.9	true
sample_A	66	15354.9	true
sample_A	67	14212.0	true
sample_A	68	12494.8	true
sample_A	69	12671.8	true
sample_A	70	14839.8	true
sample_A	71	13122.5	true
sample_A	72	14202.8	true
sample_A	73	12859.7	true
sample_A	74	16744.0	true
sample_A	75	14198.8	true
sample_A	76	14218.7	true
sample_A	77	14026.5	true
sample_A	78	14423.0	true
sample_A	79	14444.9	true
sample_A	80	14543.7	true
sample_A	81	13954.6	true
sample_A	82	14968.0	true
sample_A	83	12894.4	true
sample_A	84	12772.2	true
sample_A	85	14395.9	true
sample_A	86	14309.3	true
sample_A	87	14286.4	true
sample_A	88	14269.8	true
sample_A	89	15763.4	true
sample_A	90	15650.8	true
sample_A	91	14090.3	true
sample_A	92	14334.4	true
sample_A	93	13904.5	true
sample_A	94	15177.3	true
sample_A	95	13743.8	true
sample_A	96	12890.5	true
sample_A	97	15753.6	true
sample_A	98	13112.4	true
sample_A	99	14863.5	true
sample_A	100	13879.8	true
sample_A	101	14752.0	true
sample_A	102	12942.5	true
sample_A	103	13931.1	true
sample_A	104	14437.4	true
sample_A	105	15116.0	true
sample_A	106	13729.9	true
sample_A	107	12878.3	true
sample_A	108	12827.7	true
sample_A	109	13992.9	true
sample_A	110	14498.3	true
sample_A	111	14880.3	true
sample_A	112	14601.6	true
sample_A	113	16503.6	true
sample_A	114	15146.9	true
sample_A	115	16471.6	true
sample_A	116	13568.8	true
sample_A	117	12875.7	true
sample_A	118	14041.3	true
sample_A	119	12972.7	true
sample_A	120	13784.7	true
sample_A	121	13436.7	true
sample_A	122	12543.0	true
sample_A	123	13834.6	true
sample_A	124	14939.4	true
sample_A	125	16329.0	true
sample_A	126	12704.8	true
sample_A	127	15779.7	true
sample_A	128	15474.0	true
sample_A	129	12500.6	true
sample_A	130	13266.6	true
sample_A	131	15183.0	true
sample_A	132	12704.4	true
sample_A	133	13340.4	true
sample_A	134	13105.3	true
sample_A	135	14452.9	true
sample_A	136	13160.8	true
sample_A	137	15586.3	true
sample_A	138	13807.8	true
sample_A	139	13708.9	true
sample_A	140	12491.3	true
sample_A	141	12425.7	true
sample_A	142	12821.2	true
sample_A	143	15049.5	true
sample_A	144	12892.2	true
sample_A	145	14783.4	true
sample_A	146	14126.3	true
sample_A	147	13622.9	true
sample_A	148	13272.2	true
sample_A	149	15339.1	true
sample_A	150	12955.7	true
sample_A	151	13189.9	true
sample_A	152	15509.1	true
sample_A	153	13135.0	true
sample_A	154	12471.4	true
sample_A	155	15078.1	true
sample_A	156	12582.3	true
sample_A	157	12720.7	true
sample_A	158	14659.4	true
sample_A	159	15072.3	true
sample_A	160	15759.7	true
sample_A	161	12255.4	true
sample_A	162	15992.4	true
sample_A	163	14667.4	true
sample_A	164	15868.4	true
sample_A	165	15609.6	true
sample_A	166	15781.5	true
sample_A	167	12590.4	true
sample_A	168	14060.4	true
sample_A	169	14837.9	true
sample_A	170	14246.2	true
sample_A	171	13103.3	true
sample_A	172	12991.3	true
sample_A	173	13446.9	true
sample_A	174	14674.9	true
sample_A	175	13218.4	true
sample_A	176	14391.4	true
sample_A	177	13309.8	true
sample_A	178	13528.5	true
sample_A	179	12667.5	true
sample_A	180	14820.4	true
sample_A	181	12631.2	true
sample_A	182	15123.3	true
sample_A	183	12649.1	true
sample_A	184	13448.2	true
sample_A	185	12279.1	true
sample_A	186	12794.3	true
sample_A	187	16038.3	true
sample_A	188	15040.8	true
sample_A	189	12304.8	true
sample_A	190	12818.2	true
sample_A	191	14400.6	true
sample_A	192	12552.9	true
sample_A	193	14053.9	true
sample_A	194	15476.5	true
sample_A	195	13671.5	true
sample_A	196	13345.7	true
sample_A	197	15967.6	true
sample_A	198	12512.8	true
sample_A	199	11861.1	true
sample_A	200	15455.7	true
sample_A	201	14842.2	true
sample_A	202	14053.6	true
sample_A	203	12045.1	true
sample_A	204	12246.3	true
sample_A	205	15783.4	true
sample_A	206	15534.8	true
sample_A	207	12049.4	true
sample_A	208	13133.2	true
sample_A	209	12801.2	true
sample_A	210	11774.7	true
sample_A	211	13308.0	true
sample_A	212	14215.9	true
sample_A	213	11754.6	true
sample_A	214	13133.8	true
sample_A	215	15418.0	true
sample_A	216	13776.0	true
sample_A	217	14997.2	true
sample_A	218	12502.9	true
sample_A	219	11771.5	true
sample_A	220	13976.5	true
sample_A	221	13965.5	true
sample_A	222	12798.6	true
sample_A	223	15477.8	true
sample_A	224	13148.5	true
sample_A	225	14482.5	true
sample_A	226	11852.8	true
sample_A	227	13268.8	true
sample_A	228	12894.1	true
sample_A	229	12990.5	true
sample_A	230	15684.1	true
sample_A	231	12102.9	true
sample_A	232	14792.0	true
sample_A	233	14680.5	true
sample_A	234	14080.5	true
sample_A	235	13978.2	true
sample_A	236	14425.9	true
sample_A	237	13764.3	true
sample_A	238	13919.6	true
sample_A	239	12061.1	true
sample_A	240	13492.5	true
sample_A	241	12122.1	true
sample_A	242	12978.2	true
sample_A	243	12936.7	true
sample_A	244	11827.0	true
sample_A	245	12311.0	true
sample_A	246	12890.8	true
sample_A	247	12330.9	true
sample_A	248	12252.3	true
sample_A	249	13897.9	true
sample_A	250	12684.3	true
sample_A	251	14491.4	true
sample_A	252	14934.6	true
sample_A	253	13881.6	true
sample_A	254	14092.4	true
sample_A	255	15150.7	true
sample_A	256	15273.2	true
sample_A	257	14065.6	true
sample_A	258	14657.3	true
sample_A	259	14278.2	true
sample_A	260	13532.7	true
sample_A	261	11674.7	true
sample_A	262	14222.6	true
sample_A	263	12589.3	true
sample_A	264	14692.2	true
sample_A	265	12517.0	true
sample_A	266	11712.6	true
sample_A	267	11778.2	true
sample_A	268	12346.0	true
sample_A	269	11828.9	true
sample_A	270	13555.6	true
sample_A	271	15282.1	true
sample_A	272	14246.1	true
sample_A	273	15221.5	true
sample_A	274	12001.3	true
sample_A	275	12197.7	true
sample_A	276	11541.8	true
sample_A	277	11777.2	true
sample_A	278	12186.8	true
sample_A	279	12631.1	true
sample_A	280	12901.5	true
sample_A	281	12737.7	true
sample_A	282	11679.7	true
sample_A	283	12577.5	true
sample_A	284	13274.2	true
sample_A	285	14628.5	true
sample_A	286	12994.9	true
sample_A	287	11991.7	true
sample_A	288	13357.9	true
sample_A	289	13667.4	true
sample_A	290	14477.8	true
sample_A	291	13511.1	true
sample_A	292	12074.9	true
sample_A	293	13838.2	true
sample_A	294	12772.1	true
sample_A	295	12876.9	true
