region_id	position	value	group
PEAK_0001	-1000	0.284	promoter
PEAK_0001	-950	0.0	promoter
PEAK_0001	-900	0.209	promoter
PEAK_0001	-850	0.614	promoter
PEAK_0001	-800	0.179	promoter
PEAK_0001	-750	0.07	promoter
PEAK_0001	-700	0.0	promoter
PEAK_0001	-650	0.361	promoter
PEAK_0001	-600	0.788	promoter
PEAK_0001	-550	0.308	promoter
PEAK_0001	-500	0.321	promoter
PEAK_0001	-450	0.703	promoter
PEAK_0001	-400	0.386	promoter
PEAK_0001	-350	0.875	promoter
PEAK_0001	-300	1.349	promoter
PEAK_0001	-250	3.979	promoter
PEAK_0001	-200	6.54	promoter
PEAK_0001	-150	10.54	promoter
PEAK_0001	-100	14.21	promoter
PEAK_0001	-50	18.631	promoter
PEAK_0001	0	19.398	promoter
PEAK_0001	50	16.827	promoter
PEAK_0001	100	15.629	promoter
PEAK_0001	150	8.937	promoter
PEAK_0001	200	6.336	promoter
PEAK_0001	250	4.605	promoter
PEAK_0001	300	2.278	promoter
PEAK_0001	350	1.013	promoter
PEAK_0001	400	0.641	promoter
PEAK_0001	450	0.423	promoter
PEAK_0001	500	0.0	promoter
PEAK_0001	550	0.42	promoter
PEAK_0001	600	0.344	promoter
PEAK_0001	650	0.0	promoter
PEAK_0001	700	0.169	promoter
PEAK_0001	750	0.149	promoter
PEAK_0001	800	0.352	promoter
PEAK_0001	850	0.033	promoter
PEAK_0001	900	0.394	promoter
PEAK_0001	950	0.296	promoter
PEAK_0001	1000	0.0	promoter
PEAK_0002	-1000	0.996	background
PEAK_0002	-950	0.762	background
PEAK_0002	-900	0.54	background
PEAK_0002	-850	0.773	background
PEAK_0002	-800	0.635	background
PEAK_0002	-750	1.129	background
PEAK_0002	-700	0.731	background
PEAK_0002	-650	1.405	background
PEAK_0002	-600	0.783	background
PEAK_0002	-550	1.26	background
PEAK_0002	-500	0.96	background
PEAK_0002	-450	1.391	background
PEAK_0002	-400	0.948	background
PEAK_0002	-350	0.892	background
PEAK_0002	-300	0.592	background
PEAK_0002	-250	0.815	background
PEAK_0002	-200	0.801	background
PEAK_0002	-150	0.721	background
PEAK_0002	-100	1.306	background
PEAK_0002	-50	0.915	background
PEAK_0002	0	1.018	background
PEAK_0002	50	0.699	background
PEAK_0002	100	0.994	background
PEAK_0002	150	0.699	background
PEAK_0002	200	0.752	background
PEAK_0002	250	0.952	background
PEAK_0002	300	0.386	background
PEAK_0002	350	0.478	background
PEAK_0002	400	0.816	background
PEAK_0002	450	0.738	background
PEAK_0002	500	1.042	background
PEAK_0002	550	0.924	background
PEAK_0002	600	0.868	background
PEAK_0002	650	0.55	background
PEAK_0002	700	0.431	background
PEAK_0002	750	0.588	background
PEAK_0002	800	0.991	background
PEAK_0002	850	0.937	background
PEAK_0002	900	0.677	background
PEAK_0002	950	0.87	background
PEAK_0002	1000	0.442	background
PEAK_0003	-1000	0.572	background
PEAK_0003	-950	0.38	background
PEAK_0003	-900	0.853	background
PEAK_0003	-850	1.014	background
PEAK_0003	-800	0.655	background
PEAK_0003	-750	1.244	background
PEAK_0003	-700	1.184	background
PEAK_0003	-650	0.987	background
PEAK_0003	-600	0.908	background
PEAK_0003	-550	0.811	background
PEAK_0003	-500	1.119	background
PEAK_0003	-450	0.95	background
PEAK_0003	-400	1.364	background
PEAK_0003	-350	0.933	background
PEAK_0003	-300	1.227	background
PEAK_0003	-250	0.785	background
PEAK_0003	-200	0.633	background
PEAK_0003	-150	1.302	background
PEAK_0003	-100	1.028	background
PEAK_0003	-50	0.51	background
PEAK_0003	0	1.071	background
PEAK_0003	50	1.35	background
PEAK_0003	100	1.424	background
PEAK_0003	150	0.703	background
PEAK_0003	200	0.91	background
PEAK_0003	250	0.484	background
PEAK_0003	300	0.624	background
PEAK_0003	350	0.92	background
PEAK_0003	400	0.972	background
PEAK_0003	450	0.84	background
PEAK_0003	500	1.417	background
PEAK_0003	550	0.892	background
PEAK_0003	600	0.734	background
PEAK_0003	650	0.386	background
PEAK_0003	700	1.104	background
PEAK_0003	750	0.812	background
