sample	resolution	chrom	start	end	weight	E1	E2	E3
HIC_ES_4	500000	chr1	3000000	3500000	0.007016882605806897	-0.17178837025203647	0.4528713887134975	0.04774648252122206
HIC_ES_4	250000	chr1	3000000	3250000	0.011006600358798968	-0.3110539706424927	0.40720574458282427	-0.023660937218532737
HIC_ES_4	250000	chr1	3250000	3500000	0.008351111796513554	-0.02175174862371992	0.3044577128040037	-0.05407254276437825
HIC_ES_4	500000	chr1	3500000	4000000	0.006352615408293029	-0.12057804368117842	0.16963986420395571	-0.2845242565077998
HIC_ES_4	250000	chr1	3500000	3750000	0.006776887191465767	-0.16296666446607816	0.1325651588814408	-0.015067632641229258
HIC_ES_4	250000	chr1	3750000	4000000	0.008070358699634708	-0.10685246611929948	0.3422231927378721	0.194444075050695
HIC_ES_4	500000	chr1	4000000	4500000	0.0053810325865998165	-0.033831636951353744	0.3923452883650525	-0.1069297826240145
HIC_ES_4	250000	chr1	4000000	4250000	0.007400985213569173	-0.06974714940814988	0.3398710376054896	0.03789454513183516
HIC_ES_4	250000	chr1	4250000	4500000	0.006423461589181744	0.003759723205810231	0.37548369656992125	0.0188369708402592
HIC_ES_4	500000	chr1	4500000	5000000	0.004194888149207838	0.4271902217003328	0.34876939984324906	-0.15156339535877436
HIC_ES_4	250000	chr1	4500000	4750000	0.006325797282102686	0.3172457009378412	0.16773287855296756	0.3205424894960121
HIC_ES_4	250000	chr1	4750000	5000000	0.005466389252799497	0.7016145463671112	0.30966848395588203	0.08278102285680486
HIC_ES_4	500000	chr1	5000000	5500000	0.006073468696124222	0.07637716432193042	0.23313731993971487	-0.028627819112550135
HIC_ES_4	250000	chr1	5000000	5250000	0.0069682766642666545	0.2727103597389767	0.24795711591992803	-0.11848435479655299
HIC_ES_4	250000	chr1	5250000	5500000	0.00823358789067641	-0.13005673748961352	0.30385352289930917	-0.006941041729963103
