id	contrast	lfc	p_val	q_val	w	se	Kingdom	Phylum	neg_log10_qval	significant
Bacteria;Bacteria;Pseudomonadota	habitatRiverwater	0.5243477919491043	0.0007410007577081718	0.024049847593641975	3.37394163981189	0.15541104379574824	Bacteria	Pseudomonadota	1.6188876714502334	true
Bacteria;Bacteria;Planctomycetota	habitatRiverwater	1.367379857905772	0.0013116770796135256	0.04066198946801929	3.213412608556498	0.4255226528534768	Bacteria	Planctomycetota	1.390811376464199	true
Bacteria;Bacteria;Acidobacteriota	habitatRiverwater	-0.46687766504542866	0.07901079303579805	1.0	-1.7564547401267032	0.2658068291652935	Bacteria	Acidobacteriota	-0.0	false
Bacteria;Bacteria;Actinomycetota	habitatRiverwater	1.2903347801438327	0.001729204285238913	0.05187612855716739	3.133184976446202	0.41182847161720654	Bacteria	Actinomycetota	1.285032442167678	false
Bacteria;Bacteria;Myxococcota_A	habitatRiverwater	2.0710441548708007	0.00003622431741901886	0.0012678511096656602	4.130329813224176	0.5014234331214639	Bacteria	Myxococcota_A	2.8969317449142826	true
Bacteria;Bacteria;Bacteroidota	habitatRiverwater	3.245097795760369	2.950012060675772e-35	1.593006512764917e-33	12.390282812896077	0.26190667676954077	Bacteria	Bacteroidota	32.79778244864828	true
Bacteria;Bacteria;Verrucomicrobiota	habitatRiverwater	0.5908583304640542	0.007599192996272954	0.2127774038956427	2.6693777545009074	0.22134683990221787	Bacteria	Verrucomicrobiota	0.6720744942552145	false
Bacteria;Bacteria;Methylomirabilota	habitatRiverwater	-2.112279154526143	0.0007287832604133932	0.024049847593641975	-3.378515492106932	0.6252092552071945	Bacteria	Methylomirabilota	1.6188876714502334	true
Bacteria;Bacteria;Fibrobacterota	habitatRiverwater	1.955672280246405	2.3844105114375155e-33	1.239893465947508e-31	12.032965033121274	0.16252621651133614	Bacteria	Fibrobacterota	30.906615628659342	true
Bacteria;Bacteria;Patescibacteriota	habitatRiverwater	0.9357670089048193	3.807666301660726e-14	1.7896031617805413e-12	7.567400493584418	0.12365765624512079	Bacteria	Patescibacteriota	11.747243261621177	true
;;	habitatRiverwater	-1.408991934363243	4.186666129577979e-9	1.7263113995551898e-7	-5.8766442421834935	0.2397613121191297	Unclassified	Unclassified	6.76288086162762	true
Bacteria;Bacteria;Chloroflexota	habitatRiverwater	-0.2202227756858872	0.047965102100813575	1.0	-1.9776774823283134	0.11135424135315512	Bacteria	Chloroflexota	-0.0	false
Bacteria;Bacteria;Bacillota	habitatRiverwater	0.6512583857233119	0.23427572761161508	1.0	1.1894167122600348	0.547544337497867	Bacteria	Bacillota	-0.0	false
Bacteria;Bacteria;Bdellovibrionota	habitatRiverwater	0.9361380535048817	0.015422061243136805	0.40097359232155694	2.4223129901123337	0.38646453093638766	Bacteria	Bdellovibrionota	0.39688422859347766	false
Archaea;Archaea;Halobacteriota	habitatRiverwater	0.00711814777320535	0.9605189148139022	1.0	0.04950241230906521	0.1437939575300622	Archaea	Halobacteriota	-0.0	false
