individual_id,island,sex,year,species
gentoo_1,Biscoe,female,2007,Gentoo
gentoo_2,Biscoe,male,2007,Gentoo
gentoo_3,Biscoe,female,2007,Gentoo
gentoo_4,Biscoe,male,2007,Gentoo
gentoo_5,Biscoe,male,2007,Gentoo
gentoo_6,Biscoe,female,2007,Gentoo
gentoo_7,Biscoe,female,2007,Gentoo
gentoo_8,Biscoe,male,2007,Gentoo
gentoo_9,Biscoe,female,2007,Gentoo
gentoo_10,Biscoe,male,2007,Gentoo
gentoo_11,Biscoe,female,2007,Gentoo
gentoo_12,Biscoe,male,2007,Gentoo
gentoo_13,Biscoe,female,2007,Gentoo
gentoo_14,Biscoe,male,2007,Gentoo
gentoo_15,Biscoe,female,2007,Gentoo
gentoo_16,Biscoe,male,2007,Gentoo
gentoo_17,Biscoe,female,2007,Gentoo
gentoo_18,Biscoe,male,2007,Gentoo
gentoo_19,Biscoe,female,2007,Gentoo
gentoo_20,Biscoe,male,2007,Gentoo
gentoo_21,Biscoe,male,2007,Gentoo
gentoo_22,Biscoe,female,2007,Gentoo
gentoo_23,Biscoe,female,2007,Gentoo
gentoo_24,Biscoe,male,2007,Gentoo
gentoo_25,Biscoe,female,2007,Gentoo
gentoo_26,Biscoe,male,2007,Gentoo
gentoo_27,Biscoe,,2007,Gentoo
gentoo_28,Biscoe,male,2007,Gentoo
gentoo_29,Biscoe,female,2007,Gentoo
gentoo_30,Biscoe,male,2007,Gentoo
gentoo_31,Biscoe,male,2007,Gentoo
gentoo_32,Biscoe,female,2007,Gentoo
gentoo_33,Biscoe,female,2007,Gentoo
gentoo_34,Biscoe,male,2007,Gentoo
gentoo_35,Biscoe,female,2008,Gentoo
gentoo_36,Biscoe,male,2008,Gentoo
gentoo_37,Biscoe,female,2008,Gentoo
gentoo_38,Biscoe,male,2008,Gentoo
gentoo_39,Biscoe,female,2008,Gentoo
gentoo_40,Biscoe,male,2008,Gentoo
gentoo_41,Biscoe,female,2008,Gentoo
gentoo_42,Biscoe,male,2008,Gentoo
gentoo_43,Biscoe,female,2008,Gentoo
gentoo_44,Biscoe,male,2008,Gentoo
gentoo_45,Biscoe,male,2008,Gentoo
gentoo_46,Biscoe,female,2008,Gentoo
gentoo_47,Biscoe,female,2008,Gentoo
gentoo_48,Biscoe,male,2008,Gentoo
gentoo_49,Biscoe,female,2008,Gentoo
gentoo_50,Biscoe,male,2008,Gentoo
gentoo_51,Biscoe,female,2008,Gentoo
gentoo_52,Biscoe,male,2008,Gentoo
gentoo_53,Biscoe,female,2008,Gentoo
gentoo_54,Biscoe,male,2008,Gentoo
gentoo_55,Biscoe,female,2008,Gentoo
gentoo_56,Biscoe,male,2008,Gentoo
gentoo_57,Biscoe,female,2008,Gentoo
gentoo_58,Biscoe,male,2008,Gentoo
gentoo_59,Biscoe,female,2008,Gentoo
gentoo_60,Biscoe,male,2008,Gentoo
gentoo_61,Biscoe,female,2008,Gentoo
gentoo_62,Biscoe,male,2008,Gentoo
gentoo_63,Biscoe,female,2008,Gentoo
gentoo_64,Biscoe,male,2008,Gentoo
gentoo_65,Biscoe,female,2008,Gentoo
gentoo_66,Biscoe,male,2008,Gentoo
gentoo_67,Biscoe,,2008,Gentoo
gentoo_68,Biscoe,male,2008,Gentoo
gentoo_69,Biscoe,female,2008,Gentoo
gentoo_70,Biscoe,male,2008,Gentoo
gentoo_71,Biscoe,female,2008,Gentoo
gentoo_72,Biscoe,male,2008,Gentoo
gentoo_73,Biscoe,male,2008,Gentoo
gentoo_74,Biscoe,female,2008,Gentoo
gentoo_75,Biscoe,female,2008,Gentoo
gentoo_76,Biscoe,male,2008,Gentoo
gentoo_77,Biscoe,female,2008,Gentoo
gentoo_78,Biscoe,male,2008,Gentoo
gentoo_79,Biscoe,female,2008,Gentoo
gentoo_80,Biscoe,male,2008,Gentoo
