contrast	gene_id	base_mean	log2fc	lfc_se	pvalue	padj	log2_base_mean	neg_log10_padj	significant	direction
Condition_genotype_WT_KO_study	ENSMUSG00000033436	690.867087110122	-1.51902934879908	0.039053678441736	0.0	0.0	9.43435110164757	300.0	true	down
Condition_genotype_WT_KO_study	ENSMUSG00000095597	494.812731261436	-3.01131739461464	0.0596200428852969	0.0	0.0	8.95365150656427	300.0	true	down
Condition_genotype_WT_KO_study	ENSMUSG00000029223	790.394493029669	-2.86829246035069	0.0543827048885626	0.0	0.0	9.628253216032485	300.0	true	down
Condition_genotype_WT_KO_study	ENSMUSG00000038296	664.067623052686	-4.82450811407838	0.0750871464052918	0.0	0.0	9.377357228858845	300.0	true	down
Condition_genotype_WT_KO_study	ENSMUSG00000031995	793.110038275682	0.897912915559076	0.032293062556167	6.94823832340225e-172	9.72521757332202e-169	9.63319512242655	168.0121006738237	false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000058571	534.779862735862	-0.881483765831667	0.037609564033202	3.63640963583294e-123	3.0538568121725e-120	9.065496548340125	119.51515132980127	false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000031502	16874.3550227093	-0.768240713715262	0.0354916110268112	3.02697644155187e-105	2.19142656518557e-102	14.04263023336414	101.65927307799612	false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000062713	1096.67811530905	0.611244071488699	0.0287076592023483	7.81800894200084e-102	5.28421452483805e-99	10.100239343077462	98.27701955951657	false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000038576	126.306423367935	1.1510757983189	0.080423937004165	1.91993004734941e-48	4.63321049932195e-46	6.9921614034152135	45.33411796817214	true	up
Condition_genotype_WT_KO_study	ENSMUSG00000034607	56.0203278664139	1.57538110815423	0.111529814923379	7.67602153355751e-47	1.71444757550043e-44	5.833404429671638	43.76587579023347	true	up
Condition_genotype_WT_KO_study	ENSMUSG00000070473	594.156105291216	1.06088468309925	0.0761349940891251	4.10399828008676e-46	8.70337817074966e-44	9.217124316667745	43.06031214552494	true	up
Condition_genotype_WT_KO_study	ENSMUSG00000032373	122.322303948547	1.03069285987228	0.0830745685389708	2.65815944717363e-37	4.04406214445003e-35	6.946289937495718	34.39318217929657	true	up
Condition_treatment_Control_Treated_study	ENSMUSG00000000056	2994.90302833021	-0.275990651305145	0.0313720031934966	4.11743748162108e-19	6.64472060784011e-15	11.548775211926294	14.177523275221512	false	not significant
Condition_treatment_Control_Treated_study	ENSMUSG00000032515	368.045187603741	-0.561158369502674	0.0754982656682043	8.78122563545527e-16	7.08557096524885e-12	8.52765366714566	11.149625147947797	false	not significant
Condition_treatment_Control_Treated_study	ENSMUSG00000042745	2342.12280624422	0.574981654446892	0.0807269897641677	7.3262916382148e-15	3.94105648191702e-11	11.194216854448511	10.40438734092503	false	not significant
Condition_treatment_Control_Treated_study	ENSMUSG00000050914	88.1572266624684	-0.820496930418457	0.126837807462547	4.64755656916086e-13	1.87505669782795e-9	6.478279835503288	8.72698559557278	false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000063646	0.682745672211237	-0.813194251013277	1.08835579915	0.00283343299911619		0.7508171462662565		false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000069045	0.648728451707335	-0.470971793835724	0.933132399229191	0.00887072038117628		0.7213538040905463		false	not significant
Condition_treatment_Control_Treated_study	ENSMUSG00000080903	3.71910152912305	-0.851349209568957	0.620634534801647	3.64976473419533e-6		2.2385122106751467		false	not significant
Condition_treatment_Control_Treated_study	ENSMUSG00000037161	3.57672501146673	-0.0388918265509488	0.192852744560135	0.000439011048594704		2.1943156114685203		false	not significant
