run_id	lane	lane_label	read	read_label	is_index_read	tiles	density_k_mm2	pct_cluster_pf	pct_cluster_pf_sd	phasing	prephasing	reads_m	reads_pf_m	pct_q30	frac_q30	yield_gb	pct_aligned	error_rate	error_rate_sd
sample_run_id	1	Lane 1	1	Read 1	false	112	2355.0	76.69	2.37	0.123	0.068	482.99	370.41	94.3	0.943	54.54	0.88	0.33	0.09
sample_run_id	1	Lane 1	2	Read 2 (I)	true	112	2355.0	76.69	2.37	0.0	0.0	482.99	370.41	94.95	0.9495	2.6	0.0		
sample_run_id	1	Lane 1	3	Read 3 (I)	true	112	2355.0	76.69	2.37	0.0	0.0	482.99	370.41	72.47	0.7247	2.51	0.0		
sample_run_id	1	Lane 1	4	Read 4	false	112	2355.0	76.69	2.37	0.155	0.083	482.99	370.41	89.12	0.8912	54.53	0.84	0.76	0.21
sample_run_id	2	Lane 2	1	Read 1	false	112	2355.0	73.96	1.74	0.123	0.07	482.99	357.2	93.88	0.9388	52.6	0.81	0.33	0.1
sample_run_id	2	Lane 2	2	Read 2 (I)	true	112	2355.0	73.96	1.74	0.0	0.0	482.99	357.2	94.89	0.9489	2.5	0.0		
sample_run_id	2	Lane 2	3	Read 3 (I)	true	112	2355.0	73.96	1.74	0.0	0.0	482.99	357.2	73.42	0.7342	2.33	0.0		
sample_run_id	2	Lane 2	4	Read 4	false	112	2355.0	73.96	1.74	0.156	0.088	482.99	357.2	88.33	0.8833	52.59	0.78	0.82	0.24
sample_run_id	3	Lane 3	1	Read 1	false	112	2355.0	78.26	1.14	0.121	0.071	482.99	377.98	94.66	0.9466	55.65	0.85	0.33	0.14
sample_run_id	3	Lane 3	2	Read 2 (I)	true	112	2355.0	78.26	1.14	0.0	0.0	482.99	377.98	95.52	0.9551999999999999	2.65	0.0		
sample_run_id	3	Lane 3	3	Read 3 (I)	true	112	2355.0	78.26	1.14	0.0	0.0	482.99	377.98	72.64	0.7264	2.65	0.0		
sample_run_id	3	Lane 3	4	Read 4	false	112	2355.0	78.26	1.14	0.152	0.084	482.99	377.98	89.22	0.8922	55.64	0.82	0.73	0.18
sample_run_id	4	Lane 4	1	Read 1	false	112	2355.0	76.56	1.26	0.122	0.072	482.99	369.79	94.53	0.9453	54.45	0.8	0.33	0.11
sample_run_id	4	Lane 4	2	Read 2 (I)	true	112	2355.0	76.56	1.26	0.0	0.0	482.99	369.79	95.41	0.9541	2.59	0.0		
sample_run_id	4	Lane 4	3	Read 3 (I)	true	112	2355.0	76.56	1.26	0.0	0.0	482.99	369.79	74.64	0.7464	2.59	0.0		
sample_run_id	4	Lane 4	4	Read 4	false	112	2355.0	76.56	1.26	0.149	0.08	482.99	369.79	89.07	0.8906999999999999	54.44	0.77	0.81	0.44
