contrast	gene_id	chrom	strand	exons	exons_significant	top_exon	log2fc	abs_log2fc	f_stat	fdr	simes_fdr	neg_log10_fdr	significant	direction
GS689-PC3E	ENSG00000026508	11	+	88	83	11:35231522-35231601	-4.53336968542684	4.53336968542684	766.126607388636	0.0	1.13580584715903e-188	300.0	true	down
GS689-PC3E	ENSG00000053747	18	+	96	89	18:21330882-21331052	1.2394300956322	1.2394300956322	99.4351834154022	5.80986400569891e-224	1.42913107757222e-48	223.23583403323198	true	up
GS689-PC3E	ENSG00000008838	17	-	81	73	17:38179649-38179904	1.48745792050824	1.48745792050824	132.79164512645	5.43396946239738e-210	1.50356260319524e-63	209.2648828065419	true	up
GS689-PC3E	ENSG00000205336	16	+	105	16	16:57662639-57662714	3.25986226446496	3.25986226446496	47.5775019006061	1.81283492417091e-177	1.61007134339048e-101	176.74164174073937	true	up
GS689-PC3E	ENSG00000272888	15	+	21	1	15:93430986-93431544	-0.863047390788605	0.863047390788605	1.92390776687001	0.050040861477262	0.00823302115355153	1.300675222327924	false	not significant
GS689-PC3E	ENSG00000156239	21	-	8	0	21:30245062-30248633	0.161014189632489	0.161014189632489	2.73626060357765	0.0500513423038008	0.180154747329969	1.3005842708856283	false	not significant
GS689-PC3E	ENSG00000157823	15	-	28	1	15:90380955-90381186	-0.741189232925414	0.741189232925414	1.77398392138066	0.0501100512099149	0.187448461265964	1.3000751534305006	false	not significant
GS689-PC3E	ENSG00000204959	7	-	10	0	7:143970526-143971052	1.07112382332741	1.07112382332741	2.5806708710078	0.0501562017285676	0.367075896044749	1.2996753595533814	false	not significant
PC3E-GS689	ENSG00000026508	11	+	88	83	11:35231522-35231601	4.53336968542684	4.53336968542684	766.126607388636	0.0	1.13580584715903e-188	300.0	true	up
PC3E-GS689	ENSG00000053747	18	+	96	89	18:21330882-21331052	-1.2394300956322	1.2394300956322	99.4351834154022	5.80986400569825e-224	1.42913107757226e-48	223.235834033232	true	down
PC3E-GS689	ENSG00000008838	17	-	81	73	17:38179649-38179904	-1.48745792050823	1.48745792050823	132.79164512645	5.43396946239305e-210	1.50356260319653e-63	209.26488280654223	true	down
PC3E-GS689	ENSG00000205336	16	+	105	16	16:57662639-57662714	-3.25986226446496	3.25986226446496	47.5775019006057	1.81283492417401e-177	1.61007134339332e-101	176.74164174073863	true	down
PC3E-GS689	ENSG00000272888	15	+	21	1	15:93430986-93431544	0.863047390788605	0.863047390788605	1.92390776687001	0.0500408614772622	0.00823302115355069	1.3006752223279223	false	not significant
PC3E-GS689	ENSG00000156239	21	-	8	0	21:30245062-30248633	-0.161014189632493	0.161014189632493	2.73626060357784	0.0500513423037822	0.18015474732975	1.3005842708857898	false	not significant
PC3E-GS689	ENSG00000157823	15	-	28	1	15:90380955-90381186	0.741189232925414	0.741189232925414	1.77398392138066	0.050110051209915	0.187448461265961	1.3000751534305	false	not significant
PC3E-GS689	ENSG00000204959	7	-	10	0	7:143970526-143971052	-1.0711238233274	1.0711238233274	2.5806708710078	0.0501562017285671	0.367075896044748	1.2996753595533856	false	not significant
