contrast	gene_id	transcript_id	base_mean	log2fc	pvalue	padj	neg_log10_padj	gene_padj	significant	gene_significant	direction
GS689-PC3E	ENSG00000143537	ENST00000271836	20217.6570514804	-1.73551592471604	0.0	0.0	300.0	0.0	true	true	down
GS689-PC3E	ENSG00000136068	ENST00000358537	66725.1862124663	-27.5892415950834	0.0	0.0	300.0	0.0	true	true	down
GS689-PC3E	ENSG00000144824	ENST00000431670	2752.82895471735	20.8395578141686	0.0	0.0	300.0	0.0	true	true	up
GS689-PC3E	ENSG00000257923	ENST00000292538	8981.76496258374	-0.104137015530295	0.0	0.0	300.0	0.0	true	true	down
GS689-PC3E	ENSG00000141505	ENST00000380920	54.6032819765874	-2.88453837819846	0.0122525543180799	0.0500011291010335	1.301020188527746	0.0172831707775528	false	true	not significant
GS689-PC3E	ENSG00000054965	ENST00000064778	5116.70708919292	0.0662236256287265	0.0122573670908529	0.0500143794390563	1.3009051153995017	0.0906259921448497	false	false	not significant
GS689-PC3E	ENSG00000184281	ENST00000333256	1347.52598390211	0.185611328142963	0.0122606465188009	0.0500213706037831	1.3008444126154155	0.0665712538349958	false	false	not significant
GS689-PC3E	ENSG00000174720	ENST00000513553	178.970098598935	-0.810894381079912	0.0122669602912974	0.0500407380158786	1.3006762938255383	0.0906746847367349	false	false	not significant
PC3E-GS689	ENSG00000143537	ENST00000271836	20217.6570514804	1.73557723798296	0.0	0.0	300.0	0.0	true	true	up
PC3E-GS689	ENSG00000136068	ENST00000358537	66725.1862124663	27.5892049268723	0.0	0.0	300.0	0.0	true	true	up
PC3E-GS689	ENSG00000144824	ENST00000431670	2752.82895471735	-20.8395198318669	0.0	0.0	300.0	0.0	true	true	down
PC3E-GS689	ENSG00000257923	ENST00000292538	8981.76496258374	0.104140529025768	0.0	0.0	300.0	0.0	true	true	up
PC3E-GS689	ENSG00000141505	ENST00000380920	54.6032819765874	2.88455428532924	0.0122539192247206	0.0500066991129167	1.300971811806229	0.0172824258197469	false	true	not significant
PC3E-GS689	ENSG00000054965	ENST00000064778	5116.70708919292	-0.0662243458583394	0.0122555375293413	0.0500069141830211	1.3009699439853097	0.0906126481194826	false	false	not significant
PC3E-GS689	ENSG00000184281	ENST00000333256	1347.52598390211	-0.185609713278549	0.0122597521365609	0.0500177216750403	1.3008760944226465	0.0665710163260445	false	false	not significant
PC3E-GS689	ENSG00000116455	ENST00000235090	3254.94505377617	0.0109625968036493	0.012267834208001	0.0500379124553389	1.3007008170449308	0.00882819832436858	false	true	not significant
