gene_id	gene_biotype	log_cpm_variance	K562_R2	K562_R1	A549_R3	A549_R1	K562_R3	A549_R2
ENSG00000196565	protein_coding	61.18889690426721	14.408761177345724	13.711414743279905	0.0	0.0	14.689004043732128	0.0
ENSG00000205426	protein_coding	58.357660976523405	0.0	0.0	13.93585448477608	13.905691107033377	0.0	13.99984646470844
ENSG00000198074	protein_coding	46.94012298087586	0.0	0.0	12.726503646405018	12.180731485862458	0.0	12.6056641822184
ENSG00000213931	protein_coding	45.36589117766138	11.747289678062065	11.735097807253341	0.0	0.0	13.280366473346552	0.0
ENSG00000213934	protein_coding	40.30474184070765	11.865438097795986	10.27673509921117	0.0	0.0	12.416849032418614	0.0
ENSG00000108602	protein_coding	33.27470398966989	0.0	0.0	10.53413529044753	10.474007472412183	0.8541404066219636	11.349247616092706
ENSG00000227706	lincRNA	31.87899919124763	10.566346956581697	10.256726243404572	0.0	0.0	10.090856303881177	0.0
ENSG00000135480	protein_coding	29.721337410049415	2.0786300608110846	0.0	11.412656577092243	10.169391539688839	1.387011059419257	11.41337518733147
ENSG00000019186	protein_coding	28.720932616714446	0.0	0.0	9.556589348127169	10.150536023801694	0.0	9.624773344128508
ENSG00000197747	protein_coding	27.316329651780524	0.0	0.0	9.750136933162707	10.222623891947844	1.7752798870148507	10.193402296219643
ENSG00000154277	protein_coding	25.960918082253528	0.0	0.0	9.449118474479228	9.384491213247369	0.0	9.064764509167228
ENSG00000206172	protein_coding	25.86047109309401	10.116443219809934	7.841303638271392	0.0	0.0	9.588550996633497	0.0
