sample_id	habitat	shannon	observed_features	faith_pd	evenness
SRR10070130	Riverwater	6.52178855207897	644.0	49.4330334721616	0.698944019893225
SRR10070131	Riverwater	6.53092838233668	660.0	50.9718461364958	0.697277782351262
SRR10070132	Groundwater	5.82950909691201	251.0	27.7314832727573	0.731289875976761
SRR10070133	Groundwater	5.41408589445315	261.0	28.233084124042	0.674408232578514
SRR10070134	Riverwater	6.64792633166631	691.0	51.2529463663735	0.704786302766666
SRR10070141	Groundwater	5.38005637299862	282.0	30.8800850958158	0.660977017045671
SRR10070149	Sediment	9.39246649761871	1200.0	61.3983346212399	0.918235700701757
SRR10070150	Sediment	9.40964617062577	1205.0	62.3458851864817	0.919376064493075
SRR10070151	Sediment	9.3530946225797	1158.0	61.9244723904919	0.919004526409413
SRR10102392	Soil	8.65413527902678	917.0	40.985582168401	0.879415768368973
SRR10102393	Soil	8.59143937429286	937.0	41.4206174839175	0.87029192110945
SRR10102394	Soil	8.60845600943673	914.0	39.7123466399576	0.875194381758114
