contrast	gene_id	gene_name	chromosome	start	end	gene_biotype	base_mean	log2fc	lfc_se	pvalue	padj	neg_log10_padj	significant	direction
Condition_genotype_WT_KO_study	ENSMUSG00000051951	Xkr4	1	3205901	3216344	protein_coding	2.70387503930374	-1.37339332469021	0.767469984734723	0.000175394730541689	0.00150708890273348	2.821861128025276	true	down
Condition_genotype_WT_KO_study	ENSMUSG00000048960	Prex2	1	10993465	11303681	protein_coding	839.966188425718	-2.05634129207467	0.129673687386988	1.48925096315119e-57	4.46668913876562e-55	54.35001427139574	true	down
Condition_genotype_WT_KO_study	ENSMUSG00000057715	A830018L16Rik	1	11414105	11975901	protein_coding	4.12053709932621	-3.98377705882302	0.71894334577332	2.43321969737291e-9	5.12391650414687e-8	7.290397955836743	true	down
Condition_genotype_WT_KO_study	ENSMUSG00000103147	Gm7341	1	3531795	3532720	processed_pseudogene	0.733000834014061	0.0109863146982555	0.20782975702373	0.820525887730587	0.934418583906686	0.029458532808872152	false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000102948	Gm6101	1	4256234	4260519	processed_pseudogene	0.200468219111421	-0.00961705786093161	0.323283079295735	0.820078043139293			false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000025900	Rp1	1	4290846	4409241	protein_coding	3.39176237628624	0.0238963058079456	0.169890719893215	0.677986911583688	0.865940820580334	0.06251178716696243	false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000103072	Gm37905	1	33748007	33748347	TEC	2.83196605169681	1.30164946690379	0.766178490213131	0.000217674236542782	0.00182531878769581	2.7386612760586315	true	up
Condition_genotype_WT_KO_study	ENSMUSG00000026062	Slc9a2	1	40680574	40769273	protein_coding	11.6247513032097	1.0279203954929	0.334070898093796	9.08682335344053e-6	0.000104478563146486	3.9809728087129836	true	up
Condition_genotype_WT_KO_study	ENSMUSG00000039323	Igfbp2	1	72824503	72852474	protein_coding	17.2945493770004	2.23337924641173	0.237836099291053	8.94766080477703e-22	5.85221615564778e-20	19.232679641283674	true	up
Condition_treatment_Control_Treated_study	ENSMUSG00000051951	Xkr4	1	3205901	3216344	protein_coding	2.70387503930374	0.00106862695580907	0.0395095516121032	0.696824026606826			false	not significant
Condition_treatment_Control_Treated_study	ENSMUSG00000103147	Gm7341	1	3531795	3532720	processed_pseudogene	0.733000834014061	0.00038196538378508	0.0428982931527722	0.863367899736033			false	not significant
Condition_treatment_Control_Treated_study	ENSMUSG00000102948	Gm6101	1	4256234	4260519	processed_pseudogene	0.200468219111421	-0.000458201591763439	0.0475085228885665	0.701518710484459			false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000102735	Gm7369	1	4610471	4611406	processed_pseudogene	0.276588718176671	-0.00821755162146513	0.246066480852156	0.854858195615151			false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000064337	mt-Rnr1	MT	70	1024	Mt_rRNA	3762.10521307243	-0.0297724807978009	0.0650061100227341	0.599934156809404	0.821364044487345	0.08546431246668265	false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000064338	mt-Tv	MT	1025	1093	Mt_tRNA	0.0429429462729935	-0.00276149107393493	0.352436262322642	0.944570444728204			false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000064339	mt-Rnr2	MT	1094	2675	Mt_rRNA	8895.75771517284	0.0499247495940058	0.074684929484769	0.421748263160855	0.691064136819024	0.1604816444145299	false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000064340	mt-Tl1	MT	2676	2750	Mt_tRNA	33.4489463343037	0.0397305987636999	0.107119585673343	0.573097819023138	0.805248490968744	0.09407008037298578	false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000064341	mt-Nd1	MT	2751	3707	protein_coding	110413.591995843	-0.0220200093084281	0.0718912061310006	0.716796518097788	0.887017735321411	0.05206769665618633	false	not significant
Condition_genotype_WT_KO_study	ENSMUSG00000064342	mt-Ti	MT	3706	3774	Mt_tRNA	0.876934885472714	0.0163902976976966	0.208425389612436	0.737798146862089	0.898033177852873	0.04670761801838469	false	not significant
