sample	context	methylated_c	unmethylated_c	pct_methylated
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHG	278005	56264318	0.5
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CHH	789763	202132885	0.4
SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	CpG	10100984	1559476	86.6
SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	CHG	385987	51118282	0.7
SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	CHH	787707	189060196	0.4
SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	CpG	9149421	1329788	87.3
SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	CHG	1009159	162739915	0.6
SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	CHH	2352506	565250962	0.4
SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	CpG	29108239	4488066	86.6
SRR7961150_GSM3415714_MShef4_bulk	CHG	13471270	761926925	1.7
SRR7961150_GSM3415714_MShef4_bulk	CHH	17844097	2223606520	0.8
SRR7961150_GSM3415714_MShef4_bulk	CpG	160349849	34354970	82.4
SRR7961161_GSM3415725_MShef4_J1	CHG	3872382	221926077	1.7
SRR7961161_GSM3415725_MShef4_J1	CHH	5752259	784418437	0.7
SRR7961161_GSM3415725_MShef4_J1	CpG	39926861	7150664	84.8
SRR7961163_GSM3415727_MShef4_J2	CHG	1449909	73701772	1.9
SRR7961163_GSM3415727_MShef4_J2	CHH	2252448	273730609	0.8
SRR7961163_GSM3415727_MShef4_J2	CpG	13456556	2040394	86.8
SRR7961164_GSM3415728_MShef4_J3	CHG	2050422	98669379	2.0
SRR7961164_GSM3415728_MShef4_J3	CHH	3138552	362374279	0.9
SRR7961164_GSM3415728_MShef4_J3	CpG	18282658	2815193	86.7
