sample_id	subject_id	clone_id	rank	p	p_sd	lower	upper
SRR1383451	M4	7666	1	0.00750515463917526	0.0039815950395418	0.0	0.0153089375177005
SRR1383451	M4	494	2	0.00690721649484536	0.00373068802580096	0.0	0.0142192306629701
SRR1383451	M4	2237	3	0.00543298969072165	0.003490634282974	0.0	0.0122745071685515
SRR1383451	M4	5951	4	0.0046701030927835	0.00317191418566725	0.0	0.010886940658743
SRR1383451	M4	599	5	0.00404123711340206	0.00303677550150023	0.0	0.00999320772547607
SRR1383451	M4	483	6	0.00393814432989691	0.00289524389565091	0.0	0.00961271809183213
SRR1383451	M4	5547	7	0.00381443298969072	0.00249546224000214	0.0	0.00870544910487456
SRR1383451	M4	14130	8	0.00371134020618557	0.00300964070130433	0.0	0.00961012758714793
SRR1383451	M4	3976	9	0.00361855670103093	0.00269901767542089	0.0	0.0089085341384929
SRR1383463	M5	8485	1	0.00414432989690722	0.00310735829132608	0.0	0.0102346402349682
SRR1383463	M5	100	2	0.00388659793814433	0.00279758174081577	0.0	0.00936975739395011
SRR1383463	M5	19010	3	0.00294845360824742	0.00243269288903222	0.0	0.00771644405619726
SRR1383463	M5	28905	4	0.00283505154639175	0.0023242598015515	0.0	0.0073905170481469
SRR1383463	M5	6245	5	0.00278350515463918	0.00253790511730822	0.0	0.00775770778074318
SRR1383463	M5	26299	6	0.00262886597938144	0.00231965957972069	0.0	0.0071753152120273
SRR1383463	M5	6125	7	0.00255670103092784	0.0021996148922942	0.0	0.00686786699968241
SRR1383463	M5	2103	8	0.00248453608247423	0.00233215095719288	0.0	0.00705546796508288
SRR1383463	M5	17211	9	0.00243298969072165	0.00231802430525048	0.0	0.00697623384430106
