feature_id	gene_id	log2fc	pvalue	padj	significant	direction
ENST00000335686	ENSG00000124570	-1.12454394627322	0.000240594401280434	0.0335984258894408	true	down
ENST00000380529	ENSG00000124570	0.665912468198051	0.683506402494469	0.0335984258894408	true	up
ENST00000380539	ENSG00000124570	0.983357819780686	0.175282993785262	0.0335984258894408	true	up
ENST00000380546	ENSG00000124570	1.41337559411305	0.0915249045631308	0.0335984258894408	true	up
ENST00000579248	ENSG00000265681	1.00214433849538	0.00451618197739008	0.347672146187237	false	not significant
ENST00000580261	ENSG00000265681	-0.913356507672843	0.00415865188878173	0.347672146187237	false	not significant
ENST00000392640	ENSG00000138382	0.607007614448007	0.0119474548083479	0.469167995310595	false	not significant
ENST00000409965	ENSG00000138382	-0.537853884842473	0.0112693863054158	0.469167995310595	false	not significant
ENST00000179765	ENSG00000076108	0.473481225201012	0.373119299484674	1.0	false	not significant
ENST00000379441	ENSG00000076108	-0.481133879536325	0.373717408412752	1.0	false	not significant
ENST00000215375	ENSG00000099624	0.114470900088406	0.985893309458966	1.0	false	not significant
ENST00000395633	ENSG00000099624	-0.0993216752371984	0.982824890591977	1.0	false	not significant
ENST00000221448	ENSG00000104852	0.53045291729615	0.113529633177086	1.0	false	not significant
ENST00000401730	ENSG00000104852	-0.536345470747047	0.11427569891585	1.0	false	not significant
ENST00000222308	ENSG00000105701	-2.93487722148972	0.0329430298295861	1.0	false	not significant
