assembly_id	assembler	sample	min_contig_length	n_contigs	total_length	length_fraction
FLYE-CAPES_S11	FLYE	CAPES_S11	0	2277	87022943	1.0
FLYE-CAPES_S11	FLYE	CAPES_S11	25000	600	67457801	0.7751726001728073
MEGAHIT-CAPES_S11	MEGAHIT	CAPES_S11	5000	3556	63948721	0.4499123019311178
MEGAHIT-CAPES_S21	MEGAHIT	CAPES_S21	0	54357	87232161	1.0
MEGAHIT-CAPES_S21	MEGAHIT	CAPES_S21	25000	486	29116789	0.3337850245392866
MEGAHIT-CAPES_S7	MEGAHIT	CAPES_S7	5000	1786	35192003	0.619951540482205
METAMDBG-CAPES_S11	METAMDBG	CAPES_S11	0	100	1137166	1.0
METAMDBG-CAPES_S11	METAMDBG	CAPES_S11	25000	9	301615	0.26523392363120246
METAMDBG-CAPES_S21	METAMDBG	CAPES_S21	5000	1328	13417115	0.7830332043035001
METAMDBG-CAPES_S7	METAMDBG	CAPES_S7	0	4067	48008438	1.0
METAMDBG-CAPES_S7	METAMDBG	CAPES_S7	25000	369	17758525	0.36990424474964173
SPAdes-CAPES_S11	SPAdes	CAPES_S11	5000	3349	60869852	0.35104364051698916
SPAdes-CAPES_S21	SPAdes	CAPES_S21	0	111773	102308499	1.0
SPAdes-CAPES_S21	SPAdes	CAPES_S21	25000	475	28259763	0.27622106937567326
SPAdes-CAPES_S7	SPAdes	CAPES_S7	5000	1822	36201424	0.5610343206219115
