sample,cell_id,total_reads,mapped_reads,mapping_rate,duplicate_rate,mean_coverage,median_insert_size,gc_content,q30_rate,mean_quality
single,cell_001,99128,71252,71.88,18.48,75.24,363,60.32,92.89,41.36
single,cell_002,89818,65269,72.67,20.55,65.77,431,61.04,91.46,41.1
single,cell_003,107700,84577,78.53,18.46,57.47,333,58.36,96.82,39.86
single,cell_004,99419,74049,74.48,19.11,66.28,372,57.87,93.76,41.73
single,cell_005,84540,64394,76.17,17.3,62.67,432,61.84,88.15,36.27
single,cell_006,104586,76477,73.12,16.87,74.0,384,58.69,96.81,39.18
single,cell_007,97419,74171,76.14,19.05,61.21,367,62.14,89.15,38.76
single,cell_008,101730,75650,74.36,18.64,60.33,386,60.24,95.6,37.39
single,cell_009,108760,81402,74.85,19.25,57.43,376,59.47,94.03,36.74
single,cell_010,85791,62466,72.81,22.26,67.92,358,58.55,89.33,41.49
single,cell_011,97359,72153,74.11,19.71,68.9,363,59.49,94.85,34.73
single,cell_012,85201,61620,72.32,22.18,69.75,428,60.63,93.68,36.8
single,cell_013,96545,75150,77.84,19.27,71.11,339,61.02,89.6,38.06
single,cell_014,90976,67898,74.63,18.45,59.04,379,60.75,95.45,39.73
single,cell_015,81400,60280,74.05,18.13,64.37,415,61.93,96.96,39.26
single,cell_016,95688,70025,73.18,20.49,68.51,377,58.17,94.98,37.61
single,cell_017,107432,79588,74.08,19.31,72.55,348,61.71,93.78,39.44
single,cell_018,95875,70729,73.77,22.18,62.53,437,57.31,91.38,41.29
single,cell_019,81046,62821,77.51,19.59,62.14,332,56.71,95.04,40.59
single,cell_020,92942,68080,73.25,21.38,59.5,331,61.44,93.83,36.97
single,cell_021,102977,76706,74.49,21.66,58.32,334,58.17,91.29,37.88
single,cell_022,107318,80012,74.56,20.87,62.42,436,57.87,93.85,41.46
single,cell_023,84539,64722,76.56,18.5,59.6,421,62.32,90.07,36.52
single,cell_024,99057,76055,76.78,18.56,62.38,409,59.11,90.64,34.49
single,cell_025,85851,67441,78.56,20.67,64.64,331,58.81,90.32,38.21
single,cell_026,81453,63667,78.16,21.8,61.9,389,57.68,95.56,36.11
single,cell_027,81036,62213,76.77,19.24,72.25,369,62.42,94.72,35.35
single,cell_028,106893,79732,74.59,18.16,75.39,437,58.16,89.21,35.98
single,cell_029,106791,81938,76.73,17.83,68.33,346,61.61,88.55,41.74
single,cell_030,95109,69876,73.47,19.92,64.61,358,60.55,94.62,38.59
single,cell_031,81955,60093,73.32,21.85,61.08,442,60.14,88.5,40.66
single,cell_032,88387,65448,74.05,18.43,75.67,432,58.25,92.56,35.9
single,cell_033,101744,75229,73.94,22.1,72.83,430,57.85,88.29,38.07
single,cell_034,97663,75469,77.27,16.87,59.56,437,58.53,89.8,35.38
single,cell_035,87251,63203,72.44,20.79,68.69,391,62.44,90.81,38.87
single,cell_036,100086,72209,72.15,21.82,70.94,383,60.35,88.65,37.15
single,cell_037,96178,69174,71.92,22.2,63.86,352,57.18,88.55,34.93
single,cell_038,102585,75632,73.73,20.59,62.11,444,60.83,88.63,36.86
single,cell_039,93125,71621,76.91,19.15,70.09,427,60.0,95.31,39.03
single,cell_040,86484,67067,77.55,19.84,60.32,359,57.05,93.97,40.12
single,cell_041,82484,61537,74.6,17.48,58.76,427,61.59,89.09,36.84
