sample	gene	normalized_dispersion	mean_expression	detection_rate	selection
pbmc8k	PPBP	557.6461125222692	0.05951880712045892	0.026691000342192312	selected
pbmc8k	PF4	450.93974477348195	0.0420629436856841	0.017223679707995893	selected
pbmc8k	IGJ	351.81387615514444	0.10189313972215466	0.05862894946960191	selected
pbmc8k	GNG11	330.78994255550396	0.04437609594229042	0.02349720542945135	selected
pbmc8k	SDPR	285.2311850387496	0.038327422669518385	0.018364320748260523	selected
pbmc8k	TUBB1	248.44479102780383	0.02984528514190442	0.01311737196304323	selected
pbmc8k	PTGDS	223.73125213462683	0.03200664634539331	0.018250256644234058	selected
pbmc8k	ACRBP	219.85469608973827	0.03206640628629506	0.021101859244895632	selected
pbmc8k	CLU	182.63819803955352	0.03255078661425791	0.01916276947644576	selected
pbmc8k	GP9	147.5882663906818	0.02112139454231637	0.009695448842249344	selected
pbmc8k	MIR345		0.00014500756744687652	0.00011406410402646287	not selected
pbmc8k	VHLL		0.000054177786221730786	0.00011406410402646287	not selected
pbmc8k	AC007359.6		0.00012098089855986521	0.00011406410402646287	not selected
pbmc8k	PRY2		0.0001019532841028927	0.00011406410402646287	not selected
pbmc8k	TTTY13		0.00019095891348784277	0.00022812820805292574	not selected
