sample	orf_id	transcript_id	gene_id	gene_name	gene_type	chrom	strand	orf_type	orf_class	aa_length	psites_frame0	adjusted_pvalue
SRX11780885	10:+:100360933	ENST00000370355	ENSG00000099194	SCD	protein_coding	10	+	annotated	Annotated CDS	359	24	0.000585
SRX11780885	10:+:1017227	ENST00000360803	ENSG00000107937	GTPBP4	protein_coding	10	+	annotated	Annotated CDS	634	31	0.015023
SRX11780885	10:+:102150029	ENST00000413464	ENSG00000148840	PPRC1	protein_coding	10	+	annotated	Annotated CDS	1400	6	0.024051
SRX11780885	10:+:105686867	ENST00000419975	ENSG00000213260	YWHAZP5	processed_pseudogene	10	+	novel	Novel ORF	181	21	0.049736
SRX11780885	10:+:116750436	ENST00000437011	ENSG00000228195	RPL5P27	processed_pseudogene	10	+	novel	Novel ORF	151	12	0.020751
SRX11780885	10:+:133399639	ENST00000664059	ENSG00000254536	ENSG00000254536	protein_coding	10	+	novel	Novel ORF	153	10	0.004806
SRX11780885	11:+:57815533	ENST00000674060	ENSG00000288534	ENSG00000288534	protein_coding	11	+	dORF	Downstream ORF	946	21	0.007599
SRX11780885	11:+:57816308	ENST00000673781	ENSG00000288534	ENSG00000288534	protein_coding	11	+	dORF	Downstream ORF	909	21	0.004172
SRX11780885	11:+:66644132	ENST00000421355	ENSG00000248643	RBM14-RBM4	protein_coding	11	+	Overlap_dORF	Downstream ORF	364	26	0.001983
SRX11780885	11:-:94966362	ENST00000279839	ENSG00000150316	CWC15	protein_coding	11	-	internal	Internal ORF	53	25	0.045403
SRX11780885	1:+:36303835	ENST00000354618	ENSG00000054118	THRAP3	protein_coding	1	+	internal	Internal ORF	183	16	0.011845
SRX11780885	1:-:1641799	ENST00000341832	ENSG00000248333	CDK11B	protein_coding	1	-	internal	Internal ORF	143	16	0.006722
SRX11780885	16:+:88859650	ENST00000561840	ENSG00000167515	TRAPPC2L	protein_coding	16	+	Overlap_uORF	Upstream ORF	63	9	0.010540
SRX11780885	1:+:120802671	ENST00000652763	ENSG00000273136	NBPF26	protein_coding	1	+	uORF	Upstream ORF	243	8	0.005502
SRX11780885	1:+:149475723	ENST00000621744	ENSG00000286185	ENSG00000286185	protein_coding	1	+	uORF	Upstream ORF	238	8	0.009789
