gene_symbol	drug_class	drug_class_primary	ERZ1664501	ERZ1664503	ERZ1664504	ERZ1664505	ERZ1664506	ERZ1664507	ERZ1664508	ERZ1664509	ERZ1664510	ERZ1664511	ERZ1664515	ERZ1664516	ERZ1664517	ERZ1664518	ERZ1664520	ERZ1664521	ERZ1664523	ERZ1664524	ERZ1664528
BACA	multidrug	MULTIDRUG	4.0	4.0	2.0	4.0	4.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	4.0	4.0	2.0	2.0	8.0
BCRA	bacitracin	BACITRACIN	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0
LNUC	MLS	MLS	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SAT-4	nucleoside	NUCLEOSIDE	0.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0
TETQ	tetracycline	TETRACYCLINE	2.0	2.0	2.0	0.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR	unclassified	UNCLASSIFIED	0.0	1.0	0.0	5.0	0.0	0.0	7.0	1.0	9.0	5.0	2.0	2.0	6.0	2.0	0.0	2.0	0.0	15.0	1.0
UGD	peptide	PEPTIDE	1.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	4.0
VANU	glycopeptide	GLYCOPEPTIDE	1.0	1.0	0.0	1.0	0.0	1.0	2.0	0.0	3.0	2.0	5.0	2.0	1.0	2.0	0.0	1.0	2.0	4.0	1.0
aadE	STREPTOMYCIN	STREPTOMYCIN	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	1.0	2.0	0.0	0.0	1.0	2.0	2.0
aadS	AMINOGLYCOSIDE	AMINOGLYCOSIDE	3.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	2.0	0.0	1.0	3.0	0.0	1.0	0.0
aph(3')-IIIa	AMINOGLYCOSIDE	AMINOGLYCOSIDE	2.0	2.0	2.0	0.0	1.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0
b1	b1	B1	21.0	11.0	12.0	27.0	15.0	10.0	18.0	13.0	24.0	16.0	14.0	12.0	16.0	17.0	16.0	13.0	12.0	33.0	21.0
b3	b3	B3	21.0	26.0	18.0	35.0	23.0	29.0	39.0	25.0	40.0	24.0	24.0	22.0	23.0	25.0	29.0	26.0	17.0	45.0	39.0
class	class	CLASS	5.0	8.0	3.0	9.0	2.0	2.0	12.0	3.0	5.0	1.0	2.0	2.0	3.0	1.0	4.0	7.0	5.0	2.0	8.0
classA	classA	CLASSA	10.0	10.0	3.0	7.0	4.0	6.0	8.0	8.0	11.0	5.0	4.0	6.0	3.0	12.0	13.0	12.0	6.0	12.0	8.0
efflux	efflux	EFFLUX	29.0	29.0	16.0	27.0	16.0	26.0	34.0	22.0	27.0	13.0	13.0	21.0	20.0	29.0	30.0	26.0	19.0	12.0	26.0
