id	contrast	lfc	p_val	q_val	w	se	Kingdom	Phylum	neg_log10_qval	significant
Bacteria;Proteobacteria	habitatRiverwater	0.5452672046307996	0.0014437889580285496	0.02743199020254244	3.185750811787346	0.17115814664891532	Bacteria	Proteobacteria	1.5617426830032943	true
Bacteria;	habitatRiverwater	-0.8412606991999811	0.006693533723550742	0.11379007330036262	-2.7117188596057558	0.310231533117813	Bacteria	Unclassified	0.9438956228171749	false
Bacteria;Bacteroidetes	habitatRiverwater	3.3480136383797907	3.048441108159069e-32	8.840479213661299e-31	11.820779117513316	0.2832312155650953	Bacteria	Bacteroidetes	30.053524192655715	true
Bacteria;Acidobacteria	habitatRiverwater	-0.3565095597849416	0.1453010409547007	1.0	-1.4563313578183588	0.2447997551319686	Bacteria	Acidobacteria	-0.0	false
Bacteria;Actinobacteria	habitatRiverwater	0.5494183509931014	0.24461525408486257	1.0	1.1635282231585795	0.47220027847852225	Bacteria	Actinobacteria	-0.0	false
Bacteria;Planctomycetes	habitatRiverwater	1.038859088276395	0.019962246328333735	0.29943369492500604	2.3270567253529473	0.4464261987935984	Bacteria	Planctomycetes	0.523699330590759	false
Archaea;Thaumarchaeota	habitatRiverwater	-3.4726381271308555	5.025297484721122e-43	1.5075892454163365e-41	-13.750967490250622	0.2525377308609697	Archaea	Thaumarchaeota	40.82171696930747	true
Bacteria;Firmicutes	habitatRiverwater	-0.6272037917930647	0.004777517907900423	0.08599532234220761	-2.82166416040204	0.22228151762174939	Bacteria	Firmicutes	1.0655251712705833	false
Bacteria;Chloroflexi	habitatRiverwater	-0.8982680390868205	0.10381976304310096	1.0	-1.6266108991051975	0.5522328908412946	Bacteria	Chloroflexi	-0.0	false
Bacteria;Ignavibacteriae	habitatRiverwater	-0.0517145562545382	0.9189078397521653	1.0	-0.10180955691172038	0.5079538485702297	Bacteria	Ignavibacteriae	-0.0	false
Bacteria;candidate_division_WPS-1	habitatRiverwater	0.00905929601011417	0.9667030426736569	1.0	0.04174366747030254	0.21702204332092223	Bacteria	candidate_division_WPS-1	-0.0	false
Archaea;	habitatRiverwater	-0.09062028773339431	0.7141727639713976	1.0	-0.3662577354067811	0.24742218108444222	Archaea	Unclassified	-0.0	false
Bacteria;Gemmatimonadetes	habitatRiverwater	-2.4252478718019415	5.480492721495213e-9	1.260513325943899e-7	-5.831884268703844	0.4158600822750828	Bacteria	Gemmatimonadetes	6.899452558671938	true
Bacteria;Verrucomicrobia	habitatRiverwater	0.5948971426679895	0.011014901032001874	0.17623841651202998	2.542225732549223	0.2340064200638293	Bacteria	Verrucomicrobia	0.7538994179406807	false
Bacteria;Candidatus_Saccharibacteria	habitatRiverwater	0.9366249295630473	0.000013443060413067815	0.0002823042686744241	4.352766014514349	0.21517925072008479	Bacteria	Candidatus_Saccharibacteria	3.5492825549110636	true
Archaea;Crenarchaeota	habitatRiverwater	2.54534950574053	8.112703921866803e-18	2.1904300589040368e-16	8.597986217282267	0.29604019376354485	Archaea	Crenarchaeota	15.659470609418912	true
Bacteria;Parcubacteria	habitatRiverwater	0.38566842751782765	0.07442540035410385	1.0	1.7839893215311697	0.21618314799486274	Bacteria	Parcubacteria	-0.0	false
Bacteria;Aminicenantes	habitatRiverwater	0.375263392232817	0.3903648448448338	1.0	0.8589559037229616	0.43688318644335256	Bacteria	Aminicenantes	-0.0	false
Bacteria;Latescibacteria	habitatRiverwater	4.160687277207765	1.4294396974211193e-86	4.43126306200547e-85	19.720801967232912	0.2109796185835116	Bacteria	Latescibacteria	84.35347246730393	true
Bacteria;Armatimonadetes	habitatRiverwater	0.009059296010112837	0.9667030426736617	1.0	0.04174366747029649	0.21702204332092176	Bacteria	Armatimonadetes	-0.0	false
Archaea;Woesearchaeota	habitatRiverwater	-0.4897287057003696	0.09103529108105368	1.0	-1.6899616535336128	0.2897868745579966	Archaea	Woesearchaeota	-0.0	false
Bacteria;BRC1	habitatRiverwater	0.00905929601011438	0.966703042673656	1.0	0.04174366747030364	0.2170220433209215	Bacteria	BRC1	-0.0	false
Bacteria;Nitrospirae	habitatRiverwater	0.8395888270059754	1.0097851943132372e-16	2.6254415052144168e-15	8.303629124595489	0.10111107016076853	Bacteria	Nitrospirae	14.58079765334173	true
Archaea;Pacearchaeota	habitatRiverwater	-1.1831937413865303	2.851127535747669e-6	0.00006272480578644872	-4.681263091818328	0.25275096019586163	Archaea	Pacearchaeota	4.202560674708517	true
Archaea;Euryarchaeota	habitatRiverwater	-2.1097600907102905	4.590397822086902e-30	1.2853113901843326e-28	-11.391868360613449	0.18519877722644967	Archaea	Euryarchaeota	27.890991643806718	true
Bacteria;Campilobacterota	habitatRiverwater	2.6268490870925136	0.00003460457510377006	0.0006920915020754013	4.140833721406855	0.6343768583395417	Bacteria	Campilobacterota	3.1598364832609325	true
Archaea;Diapherotrites	habitatRiverwater	-3.1892027416099737	3.8851716251845056e-15	9.712929062961263e-14	-7.858578514543545	0.4058243785066025	Archaea	Diapherotrites	13.012649783062516	true
Bacteria;Spirochaetes	habitatRiverwater	0.545538600154812	0.21902844790863168	1.0	1.229115650961664	0.4438464352219263	Bacteria	Spirochaetes	-0.0	false
Bacteria;Fusobacteria	habitatRiverwater	5.527688809236961	9.293991076777778e-175	2.974077144568889e-173	28.183585191329463	0.1961314989456177	Bacteria	Fusobacteria	172.52664777050603	true
Bacteria;Hydrogenedentes	habitatRiverwater	0.009059296010113281	0.96670304267366	1.0	0.04174366747029865	0.21702204332092115	Bacteria	Hydrogenedentes	-0.0	false
