sample	depth	faith_pd	faith_pd_iqr	iterations
SRR10070130	1	0.7657576253455285	0.6556908622092648	10
SRR10070130	302	14.354179064191024	1.407853348082309	10
SRR10070130	603	19.024602075416773	1.9644488177669324	10
SRR10070131	1	0.4325089892824909	0.10106882235713988	10
SRR10070131	302	13.752396873869671	1.3281507235256296	10
SRR10070131	603	18.920598516494202	1.7182947612374697	10
SRR10070132	1	0.49607081277289855	0.78301632957425	10
SRR10070132	302	12.065394546695416	1.4393301578540303	10
SRR10070132	603	16.06965084585383	0.8483509697160709	10
SRR10070133	1	0.5789816694094698	0.9402561634092197	10
SRR10070133	302	11.58460422144248	1.461849435663101	10
SRR10070133	603	15.37309163052662	1.118322783798039	10
SRR10070134	1	0.443698904910064	0.10739775591619638	10
SRR10070134	302	13.677165857857275	1.166460250464171	10
SRR10070134	603	18.924610382095373	1.6748615629621817	10
SRR10070141	1	0.460770258725228	0.692848502541892	10
SRR10070141	302	11.4494944498609	0.8350315328139697	10
SRR10070141	603	15.60109432615554	0.8768754412977913	10
SRR10070149	1	0.36972579630611463	0.08736391452714798	10
SRR10070149	302	20.475156434226054	0.6164740588938677	10
SRR10070149	603	27.593137933927224	0.86195404766179	10
SRR10070150	1	0.36520335437955165	0.07637368900476188	10
SRR10070150	302	20.020835310185014	1.2324267755891007	10
SRR10070150	603	28.643915948246523	0.8710338783501399	10
SRR10070151	1	0.40751442443806174	0.1368368722836708	10
SRR10070151	302	19.93428824569585	0.43691718324182105	10
SRR10070151	603	27.77446162298302	1.113837734127781	10
SRR10102392	1	0.4142885576555082	0.15424577380185095	10
SRR10102392	302	14.701685047109276	0.9126709539551108	10
SRR10102392	603	20.18520703157304	0.5773638508127199	10
SRR10102393	1	0.36166411474399607	0.9774907871556555	10
SRR10102393	302	14.939296887063126	0.8582591564107602	10
SRR10102393	603	20.075359534972065	0.6020401770734303	10
SRR10102394	1	0.36795127576907927	0.5296609797364167	10
SRR10102394	302	15.225633133097075	0.95371540801324	10
SRR10102394	603	19.868128940367125	0.8050171947114109	10
